uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height
3f9b40f9-a367-43d5-84eb-57af279644b5,BLAN_052.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08168,single bole tree,17.6,130,7.5
ecd2d9ab-8259-4d1b-883d-b536f86bd632,BLAN_052.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.00082,multi-bole tree,12.6,130,6.0
65fad273-c263-4874-9a43-8d6a2b2cee87,BLAN_052.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08226,single bole tree,11.9,130,6.6
2db3c0c3-2c3a-4eb2-bc88-b280b1bd6a98,BLAN_052.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.13191,single bole tree,11.1,130,6.9
cf334472-528b-4b33-bd2b-1ff4e9de4563,BLAN_052.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08218,single bole tree,14.4,130,7.2
724a9d37-070e-4a71-8af3-05e2141cfde7,BLAN_052.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08167,single bole tree,12.5,130,5.7
5ce21ad1-f01e-4660-90a7-da0362d204ea,BLAN_035.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_035,NEON.PLA.D02.BLAN.13298,single bole tree,12.2,130,6.8
a76a2671-7318-4517-b0ad-8b040e56dc05,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08240,single shrub,4.5,130,5.1
92ef6e2e-79be-41f8-95be-e629f8513a03,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08328,single shrub,1.5,130,1.9
45cde509-6094-42c6-83c4-004be1baffef,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08242,single shrub,3.5,130,4.9
0e3477d0-4388-411d-99a6-5a8340f5d410,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08417,single shrub,1.5,130,3.6
94a954e8-d988-4e01-ba94-527b065ce220,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08403,single shrub,4.7,130,4.3
257042f8-45df-4b93-a2c3-5bb2d186e4a9,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05392,single shrub,1.0,130,2.1
6f336d4a-59a5-446b-8ac8-a4957184bb6c,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.00090,multi-bole tree,11.1,180,7.1
ff562c32-68ab-404a-add0-b674e3f8dab2,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.13159A,multi-bole tree,10.4,130,NA
50570742-18e8-4d0e-886c-8121ae528027,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05386,small shrub,NA,NA,0.3
ea6c9bc0-20dd-4399-bf2b-f990348940fb,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05391,single shrub,1.0,130,1.9
24dae176-5543-4059-8fad-21ce245293ff,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08241,single shrub,5.3,130,5.6
fe3c4d61-88ca-478e-b021-d7c15dc1965a,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08432,single shrub,2.5,130,3.7
a61865dd-c210-41cd-8c90-991264476a22,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08415,small shrub,NA,NA,0.9
86f5bb0d-c016-48d8-ac1d-1878145ced40,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08408,single shrub,1.4,130,2.6
2614ee79-7ea4-4d54-940d-e07e8ca20b56,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08326,single shrub,5.8,130,6.3
94da5f68-7cae-45fa-8fb2-0b862e16c2d7,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08330,single shrub,1.1,130,5.5
f4a562f9-e18a-4739-b9eb-56a9f9357a41,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08241,single shrub,1.6,130,5.6
86f9ba1e-6567-4cb6-bbe1-62ddb01fbf64,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08402,single shrub,4.1,130,4.2
2271e593-b904-408e-8122-442dbaf67c17,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05374,single shrub,1.6,130,2.3
12363839-323c-4c70-b9dc-2aeb9fb92eca,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08422,small shrub,NA,NA,0.5
ef938bf6-5d71-40aa-a5b5-e7ceecdc5c62,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08407,single shrub,6.0,130,4.0
5af23c72-b73d-406e-a9aa-0257d7991e6f,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.12188,multi-bole tree,10.7,130,7.2
d83a02fa-902f-4ff9-8548-70c63deef3f9,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08432,single shrub,2.2,130,3.7
c548d2c7-a554-4bed-a4cd-ae22a9900d27,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08324,single shrub,3.8,130,4.6
76c8b2a2-087e-416d-8cda-d5c5ac25e476,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08240,single shrub,2.6,130,5.1
75112c5a-d676-434b-af68-cd180a7c2032,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08419,single shrub,1.8,130,2.9
bcb6a97b-a266-4260-a88a-f5a6c49357d5,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08413,single shrub,7.6,130,4.8
016ae5e9-e99e-49c1-a98c-93eefdcc84eb,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05387,single shrub,3.6,130,4.5
9df1feec-e643-4de3-a471-2d4525b42d1b,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08408,single shrub,2.6,130,2.6
4f5cd3a1-af41-452d-924d-a060d938cd6c,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08242,single shrub,3.0,130,4.9
f58e912d-30c5-4f87-9db2-53daad3b0740,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08408,single shrub,2.3,130,2.6
6799c473-0fe7-4e52-9de8-eb00411bddcd,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08326,single shrub,3.6,130,6.3
b3c1b9b0-ff83-4014-a479-e28dc6031e7b,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08402,single shrub,3.4,130,4.2
fdbc0a1b-2878-4380-aa35-50d4242113af,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05385,single shrub,1.2,130,2.3
edd270cf-b598-4113-a409-ec0dad9945fe,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08241,single shrub,4.9,130,5.6
7f3657ff-2ada-4c1f-b6f9-477e9e6ec0f1,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05374,single shrub,1.1,130,2.3
8ee61c63-83fd-4c29-b470-164299225ce5,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08403,single shrub,4.5,130,4.3
e237f54e-da2f-40d5-982d-7996934ccc09,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08324,single shrub,4.6,130,4.6
93815601-1037-4e23-bc68-8d12a15ad744,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08240,single shrub,1.6,130,5.1
52c04f5c-9ac4-466a-badd-c5f011dac7e1,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05387,single shrub,4.6,130,4.5
3a702272-575b-4f78-8eb6-db7a07a4a989,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08241,single shrub,3.6,130,5.6
e982fcb4-9ee4-415b-bae3-ed9a26811f59,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08411,single shrub,1.5,130,4.0
24cf0ae1-f952-45af-b8d6-8a76682efb45,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08327,single shrub,1.1,130,2.4
be17f193-8852-4cd1-9932-8f4d89df250c,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08431,single shrub,2.3,130,3.6
978a7d4c-7037-4166-8f4c-acb9d833d87b,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05390,single shrub,3.4,130,3.8
f1442653-463c-48ac-80ac-029b5b1cc10a,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05372,small tree,8.3,130,4.7
876aabb2-2898-4495-818c-3d7ca539a919,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05374,single shrub,1.3,130,2.3
db1355af-1aeb-4bac-90a7-6e35b6b4b3ce,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08406,small shrub,NA,NA,NA
72596341-7b21-43c0-9dd3-6e2861183b7d,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08424,single shrub,3.3,130,3.6
d7d2399e-3268-4401-9e86-1d80652f2ad2,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08420,small shrub,NA,NA,1.4
5f3a2b03-a253-4bda-998f-a7693e556332,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05393,single shrub,3.6,130,3.7
